date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:15	1180/1180	---M--	200	added ('OK')	image/jpeg	etag:%226bde82139c6189f1240ead1d4a366a15-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/top-menu-bg.jpg	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/top-menu-bg.jpg	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/style.css)
16:03:17	15942/15942	---M--	200	added ('OK')	image/jpeg	etag:%2293c71cc15bb9720417364d601276c9b0-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/top-title-strip.jpg	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/top-title-strip.jpg	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/style.css)
16:03:19	1306/1306	---M--	200	added ('OK')	image/gif	etag:%2259b7bb9a7d8fd07fcf7afbdc3dc6e1d0-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/doted-bull.gif	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/doted-bull.gif	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/style.css)
16:03:21	2085/2085	---M--	200	added ('OK')	image/gif	etag:%220b027fc94c75d6d2865d2927a630002d-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/none-bull.gif	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/none-bull.gif	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/style.css)
16:03:23	1168/1168	---M--	200	added ('OK')	image/jpeg	etag:%22df3df6d117cf0818b11feccbf70eb899-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/welcome-strip-bg.jpg	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/welcome-strip-bg.jpg	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/style.css)
16:03:25	1225/1225	---M--	200	added ('OK')	image/jpeg	etag:%2291c70f0cd0799d57721a8210a5247804-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/form-title-strip.jpg	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/form-title-strip.jpg	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/style.css)
16:03:27	26275/26275	---M--	200	added ('OK')	image/gif	etag:%22e74ba3b9fce0d6c9d93eda778c2bda3e-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/water-mark.gif	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/water-mark.gif	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/style.css)
16:03:29	2608/2608	---M--	200	added ('OK')	image/gif	etag:%22345a744736b5f254cd2509d9e7f9e814-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/busy.gif	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/busy.gif	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/style.css)
16:03:31	7963/7963	---M--	200	added ('OK')	image/jpeg	etag:%223de0dcfca6466cebbb3970974594fba9-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/cla-edit.jpg	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/cla-edit.jpg	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/style.css)
16:03:32	1434/1434	---M--	200	added ('OK')	image/gif	etag:%22b0a24692fb2403ca69ec6d24fc2b216a-ssl%22	https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/btn-bg.gif	C:/My%20Web%20Sites/445/crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/images/btn-bg.gif	(from https://crsorgi-gov9iin.netlify.app/crsorgi.gov.in/web/css/main.css)
